trade_date,pnl_eod,contract
2025-04-17,-3.55,NVDA2517D101
2025-04-07,2.65,NVDA2517D102
2025-04-08,-3.35,NVDA2517D102
2025-04-09,13.5,NVDA2517D102
2025-04-10,-1.1,NVDA2517D102
2025-04-11,0.75,NVDA2517D102
2025-04-14,-3.56,NVDA2517D102
2025-04-15,0.5,NVDA2517D102
2025-04-16,-0.8,NVDA2517D102
2025-04-17,-2.95,NVDA2517D102
2025-04-07,2.4,NVDA2517D103
2025-04-08,-3.07,NVDA2517D103
2025-04-09,8.7,NVDA2517D103
2025-04-10,-1.46,NVDA2517D103
2025-04-11,0.75,NVDA2517D103
2025-04-14,-3.41,NVDA2517D103
2025-04-15,0.2,NVDA2517D103
2025-04-16,-0.68,NVDA2517D103
2025-04-17,0.0,NVDA2517D103
2025-04-07,2.13,NVDA2517D104
2025-04-08,-3.01,NVDA2517D104
2025-04-09,7.2,NVDA2517D104
2025-04-10,-1.01,NVDA2517D104
2025-04-11,0.4,NVDA2517D104
2025-04-14,-4.61,NVDA2517D104
2025-04-15,0.04,NVDA2517D104
2025-04-16,-0.77,NVDA2517D104
2025-04-17,-1.49,NVDA2517D104
2024-11-08,-0.36,NVDA2517D105
2024-11-11,-3.55,NVDA2517D105
2024-11-12,0.64,NVDA2517D105
2024-11-14,-1.25,NVDA2517D105
2024-11-15,-0.86,NVDA2517D105
2024-11-18,0.2,NVDA2517D105
2024-11-19,2.95,NVDA2517D105
2024-11-20,0.55,NVDA2517D105
2024-11-21,1.64,NVDA2517D105
2024-11-22,-2.86,NVDA2517D105
2024-11-25,-0.16,NVDA2517D105
2024-11-26,-1.45,NVDA2517D105
2024-11-27,0.95,NVDA2517D105
2024-11-29,-0.55,NVDA2517D105
2024-12-02,-1.06,NVDA2517D105
2024-12-04,-0.11,NVDA2517D105
2024-12-05,-0.81,NVDA2517D105
2024-12-06,-0.96,NVDA2517D105
2024-12-09,-0.5,NVDA2517D105
2024-12-10,-4.75,NVDA2517D105
2024-12-11,-0.06,NVDA2517D105
2024-12-12,-0.4,NVDA2517D105
2024-12-13,-4.16,NVDA2517D105
2024-12-16,-0.56,NVDA2517D105
2024-12-17,1.5,NVDA2517D105
2024-12-18,-4.5,NVDA2517D105
2024-12-19,0.29,NVDA2517D105
2024-12-20,4.0,NVDA2517D105
2024-12-23,1.95,NVDA2517D105
2024-12-24,0.35,NVDA2517D105
2024-12-26,-0.06,NVDA2517D105
2024-12-27,-1.75,NVDA2517D105
2024-12-30,3.89,NVDA2517D105
2024-12-31,-2.55,NVDA2517D105
2025-01-02,1.59,NVDA2517D105
2025-01-03,2.0,NVDA2517D105
2025-01-06,-0.05,NVDA2517D105
2025-01-07,-9.11,NVDA2517D105
2025-01-08,-2.65,NVDA2517D105
2025-01-10,-0.05,NVDA2517D105
2025-01-13,2.45,NVDA2517D105
2025-01-14,-4.81,NVDA2517D105
2025-01-15,1.75,NVDA2517D105
2025-01-16,-2.05,NVDA2517D105
2025-01-17,0.6,NVDA2517D105
2025-01-21,1.59,NVDA2517D105
2025-01-22,1.04,NVDA2517D105
2025-01-23,0.84,NVDA2517D105
2025-01-24,-0.71,NVDA2517D105
2025-01-27,-9.1,NVDA2517D105
2025-01-28,4.55,NVDA2517D105
2025-01-29,-2.65,NVDA2517D105
2025-01-30,1.45,NVDA2517D105
2025-01-31,-3.61,NVDA2517D105
2025-02-03,-1.06,NVDA2517D105
2025-02-04,-1.11,NVDA2517D105
2025-02-05,1.15,NVDA2517D105
2025-02-06,2.35,NVDA2517D105
2025-02-07,-0.2,NVDA2517D105
2025-02-10,1.6,NVDA2517D105
2025-02-11,-1.25,NVDA2517D105
2025-02-12,0.85,NVDA2517D105
2025-02-13,1.8,NVDA2517D105
2025-02-14,1.75,NVDA2517D105
2025-02-18,-3.11,NVDA2517D105
2025-02-19,-0.3,NVDA2517D105
2025-02-20,1.1,NVDA2517D105
2025-02-21,-6.06,NVDA2517D105
2025-02-24,-4.55,NVDA2517D105
2025-02-25,-2.31,NVDA2517D105
2025-02-26,-0.9,NVDA2517D105
2025-02-27,-11.5,NVDA2517D105
2025-02-28,3.5,NVDA2517D105
2025-03-03,-6.6,NVDA2517D105
2025-03-04,3.19,NVDA2517D105
2025-03-05,-0.71,NVDA2517D105
2025-03-06,-2.16,NVDA2517D105
2025-03-07,0.65,NVDA2517D105
2025-03-10,-1.65,NVDA2517D105
2025-03-11,1.0,NVDA2517D105
2025-03-12,1.09,NVDA2517D105
2025-03-13,-2.75,NVDA2517D105
2025-03-14,2.44,NVDA2517D105
2025-03-17,-4.95,NVDA2517D105
2025-03-18,-2.41,NVDA2517D105
2025-03-19,-0.6,NVDA2517D105
2025-03-20,0.79,NVDA2517D105
2025-03-21,-0.1,NVDA2517D105
2025-03-24,-0.6,NVDA2517D105
2025-03-25,-0.4,NVDA2517D105
2025-03-26,-4.21,NVDA2517D105
2025-03-27,-0.3,NVDA2517D105
2025-03-28,-1.3,NVDA2517D105
2025-03-31,1.29,NVDA2517D105
2025-04-01,0.59,NVDA2517D105
2025-04-02,1.75,NVDA2517D105
2025-04-03,-1.15,NVDA2517D105
2025-04-04,-0.49,NVDA2517D105
2025-04-07,1.92,NVDA2517D105
2025-04-08,-2.72,NVDA2517D105
2025-04-09,10.85,NVDA2517D105
2025-04-10,-2.2,NVDA2517D105
2025-04-11,0.54,NVDA2517D105
2025-04-14,-3.95,NVDA2517D105
2025-04-15,0.29,NVDA2517D105
2025-04-16,-0.8,NVDA2517D105
2025-04-17,-1.12,NVDA2517D105
2025-03-24,-0.31,NVDA2517D106
2025-03-25,0.85,NVDA2517D106
2025-03-26,-3.45,NVDA2517D106
2025-03-27,-0.3,NVDA2517D106
2025-03-28,-1.21,NVDA2517D106
2025-03-31,1.25,NVDA2517D106
2025-04-01,0.65,NVDA2517D106
2025-04-02,1.64,NVDA2517D106
2025-04-03,-1.09,NVDA2517D106
2025-04-04,-0.99,NVDA2517D106
2025-04-07,1.69,NVDA2517D106
2025-04-08,-2.49,NVDA2517D106
2025-04-09,7.54,NVDA2517D106
2025-04-10,-0.86,NVDA2517D106
2025-04-11,0.45,NVDA2517D106
2025-04-14,-3.05,NVDA2517D106
2025-04-15,0.2,NVDA2517D106
2025-04-16,-0.51,NVDA2517D106
2025-04-17,-1.0,NVDA2517D106
2025-03-24,-0.25,NVDA2517D107
2025-03-25,0.25,NVDA2517D107
2025-03-26,-3.41,NVDA2517D107
2025-03-27,0.1,NVDA2517D107
2025-03-28,-1.15,NVDA2517D107
2025-03-31,5.5,NVDA2517D107
2025-04-01,0.54,NVDA2517D107
2025-04-02,1.5,NVDA2517D107
2025-04-03,-0.96,NVDA2517D107
2025-04-04,-0.98,NVDA2517D107
2025-04-07,1.47,NVDA2517D107
2025-04-08,-2.33,NVDA2517D107
2025-04-09,6.05,NVDA2517D107
2025-04-10,-1.11,NVDA2517D107
2025-04-11,0.25,NVDA2517D107
2025-04-14,-3.1,NVDA2517D107
2025-04-15,-0.05,NVDA2517D107
2025-04-16,-0.51,NVDA2517D107
2025-04-17,-0.4,NVDA2517D107
2025-03-24,0.9,NVDA2517D108
2025-03-25,-0.75,NVDA2517D108
2025-03-26,-3.46,NVDA2517D108
2025-03-27,-0.25,NVDA2517D108
2025-03-28,-1.05,NVDA2517D108
2025-03-31,0.95,NVDA2517D108
2025-04-01,0.45,NVDA2517D108
2025-04-02,1.4,NVDA2517D108
2025-04-03,-0.98,NVDA2517D108
2025-04-04,-0.8,NVDA2517D108
2025-04-07,1.24,NVDA2517D108
2025-04-08,-2.06,NVDA2517D108
2025-04-09,5.55,NVDA2517D108
2025-04-10,-2.11,NVDA2517D108
2025-04-11,0.29,NVDA2517D108
2025-04-14,-2.9,NVDA2517D108
2025-04-15,0.0,NVDA2517D108
2025-04-16,-0.52,NVDA2517D108
2025-04-17,-0.21,NVDA2517D108
2025-03-24,0.9,NVDA2517D109
2025-03-25,0.9,NVDA2517D109
2025-03-26,-3.31,NVDA2517D109
2025-03-27,-1.16,NVDA2517D109
2025-03-28,-1.35,NVDA2517D109
2025-03-31,0.75,NVDA2517D109
2025-04-01,0.44,NVDA2517D109
2025-04-02,1.25,NVDA2517D109
2025-04-03,-0.79,NVDA2517D109
2025-04-04,-0.43,NVDA2517D109
2025-04-07,1.06,NVDA2517D109
2025-04-08,-1.86,NVDA2517D109
2025-04-09,5.11,NVDA2517D109
2025-04-10,-1.0,NVDA2517D109
2025-04-11,-0.71,NVDA2517D109
2025-04-14,-2.8,NVDA2517D109
2025-04-15,-0.1,NVDA2517D109
2025-04-16,-0.41,NVDA2517D109
2025-04-17,0.0,NVDA2517D109
2025-03-10,-0.41,NVDA2517D110
2025-03-11,7.65,NVDA2517D110
2025-03-12,0.95,NVDA2517D110
2025-03-13,-1.05,NVDA2517D110
2025-03-14,2.0,NVDA2517D110
2025-03-17,-4.56,NVDA2517D110
2025-03-18,-2.06,NVDA2517D110
2025-03-19,-0.21,NVDA2517D110
2025-03-20,1.04,NVDA2517D110
2025-03-21,-1.75,NVDA2517D110
2025-03-24,-0.1,NVDA2517D110
2025-03-25,-0.1,NVDA2517D110
2025-03-26,-3.41,NVDA2517D110
2025-03-27,5.75,NVDA2517D110
2025-03-28,-1.0,NVDA2517D110
2025-03-31,0.8,NVDA2517D110
2025-04-01,0.45,NVDA2517D110
2025-04-02,1.09,NVDA2517D110
2025-04-03,-0.98,NVDA2517D110
2025-04-04,-0.76,NVDA2517D110
2025-04-07,1.38,NVDA2517D110
2025-04-08,-1.95,NVDA2517D110
2025-04-09,5.61,NVDA2517D110
2025-04-10,-0.85,NVDA2517D110
2025-04-11,-0.6,NVDA2517D110
2025-04-14,-2.75,NVDA2517D110
2025-04-15,-0.16,NVDA2517D110
2025-04-16,0.19,NVDA2517D110
2025-04-17,-0.08,NVDA2517D110
2025-03-24,0.8,NVDA2517D111
2025-03-25,0.25,NVDA2517D111
2025-03-26,-2.95,NVDA2517D111
2025-03-27,-0.3,NVDA2517D111
2025-03-28,-0.91,NVDA2517D111
2025-03-31,0.79,NVDA2517D111
2025-04-01,3.95,NVDA2517D111
2025-04-02,0.49,NVDA2517D111
2025-04-03,-0.72,NVDA2517D111
2025-04-04,-0.29,NVDA2517D111
2025-04-07,0.76,NVDA2517D111
2025-04-08,-1.42,NVDA2517D111
2025-04-09,4.17,NVDA2517D111
2025-04-10,-0.75,NVDA2517D111
2025-04-11,0.2,NVDA2517D111
2025-04-14,-2.49,NVDA2517D111
2025-04-15,2.58,NVDA2517D111
2025-04-16,-0.26,NVDA2517D111
2025-04-17,-0.06,NVDA2517D111
2025-03-24,0.94,NVDA2517D112
2025-03-25,0.29,NVDA2517D112
2025-03-26,-2.95,NVDA2517D112
2025-03-27,-0.35,NVDA2517D112
2025-03-28,-0.95,NVDA2517D112
2025-03-31,0.83,NVDA2517D112
2025-04-01,0.29,NVDA2517D112
2025-04-02,0.3,NVDA2517D112
2025-04-03,-0.87,NVDA2517D112
2025-04-04,-0.24,NVDA2517D112
2025-04-07,0.64,NVDA2517D112
2025-04-08,-1.21,NVDA2517D112
2025-04-09,5.75,NVDA2517D112
2025-04-10,-1.46,NVDA2517D112
2025-04-11,0.05,NVDA2517D112
2025-04-14,-2.38,NVDA2517D112
2025-04-15,-0.27,NVDA2517D112
2025-04-16,-0.2,NVDA2517D112
2025-04-17,-0.05,NVDA2517D112
2025-03-24,1.0,NVDA2517D113
2025-03-25,0.45,NVDA2517D113
2025-03-26,-2.75,NVDA2517D113
2025-03-27,-0.4,NVDA2517D113
2025-03-28,-0.8,NVDA2517D113
2025-03-31,0.69,NVDA2517D113
2025-04-01,0.27,NVDA2517D113
2025-04-02,0.91,NVDA2517D113
2025-04-03,-0.46,NVDA2517D113
2025-04-04,-1.55,NVDA2517D113
2025-04-07,0.51,NVDA2517D113
2025-04-08,-1.05,NVDA2517D113
2025-04-09,4.32,NVDA2517D113
2025-04-10,-0.61,NVDA2517D113
2025-04-11,0.02,NVDA2517D113
2025-04-14,-2.1,NVDA2517D113
2025-04-15,-0.35,NVDA2517D113
2025-04-16,-0.13,NVDA2517D113
2025-04-17,-0.04,NVDA2517D113
2025-03-24,0.59,NVDA2517D114
2025-03-25,0.5,NVDA2517D114
2025-03-26,-2.66,NVDA2517D114
2025-03-27,3.75,NVDA2517D114
2025-03-28,-0.81,NVDA2517D114
2025-03-31,0.53,NVDA2517D114
2025-04-01,0.1,NVDA2517D114
2025-04-02,0.84,NVDA2517D114
2025-04-03,-0.56,NVDA2517D114
2025-04-04,-0.83,NVDA2517D114
2025-04-07,0.4,NVDA2517D114
2025-04-08,-0.89,NVDA2517D114
2025-04-09,4.5,NVDA2517D114
2025-04-10,-0.56,NVDA2517D114
2025-04-11,-0.03,NVDA2517D114
2025-04-14,-1.9,NVDA2517D114
2025-04-15,1.1,NVDA2517D114
2025-04-16,-0.11,NVDA2517D114
2025-04-17,-0.03,NVDA2517D114
2025-04-03,-0.45,NVDA2517D115
2025-04-04,0.4,NVDA2517D115
2025-04-07,0.37,NVDA2517D115
2025-04-08,-0.76,NVDA2517D115
2025-04-09,3.3,NVDA2517D115
2025-04-10,-1.51,NVDA2517D115
2025-04-11,-0.1,NVDA2517D115
2025-04-14,-1.67,NVDA2517D115
2025-04-15,-0.35,NVDA2517D115
2025-04-16,-0.09,NVDA2517D115
2025-04-17,-0.03,NVDA2517D115
2025-03-24,0.89,NVDA2517D116
2025-03-25,-0.11,NVDA2517D116
2025-03-26,-2.56,NVDA2517D116
2025-03-27,-0.03,NVDA2517D116
2025-03-28,-0.63,NVDA2517D116
2025-03-31,0.54,NVDA2517D116
2025-04-01,0.11,NVDA2517D116
2025-04-02,0.57,NVDA2517D116
2025-04-03,-0.44,NVDA2517D116
2025-04-04,-0.11,NVDA2517D116
2025-04-07,0.26,NVDA2517D116
2025-04-08,-0.57,NVDA2517D116
2025-04-09,2.92,NVDA2517D116
2025-04-10,-1.02,NVDA2517D116
2025-04-11,-1.07,NVDA2517D116
2025-04-14,-1.45,NVDA2517D116
2025-04-15,-0.31,NVDA2517D116
2025-04-16,-0.06,NVDA2517D116
2025-04-17,-0.02,NVDA2517D116
2025-03-24,0.75,NVDA2517D117
2025-03-25,0.0,NVDA2517D117
2025-03-26,3.6,NVDA2517D117
2025-03-27,-0.07,NVDA2517D117
2025-03-28,-0.52,NVDA2517D117
2025-03-31,0.46,NVDA2517D117
2025-04-01,0.09,NVDA2517D117
2025-04-02,0.5,NVDA2517D117
2025-04-03,-0.3,NVDA2517D117
2025-04-04,-0.12,NVDA2517D117
2025-04-07,0.24,NVDA2517D117
2025-04-08,0.3,NVDA2517D117
2025-04-09,2.5,NVDA2517D117
2025-04-10,-0.45,NVDA2517D117
2025-04-11,-0.18,NVDA2517D117
2025-04-14,-1.21,NVDA2517D117
2025-04-15,-0.32,NVDA2517D117
2025-04-16,-0.06,NVDA2517D117
2025-04-17,-0.03,NVDA2517D117
2025-03-24,0.25,NVDA2517D118
2025-03-25,-0.15,NVDA2517D118
2025-03-26,-2.3,NVDA2517D118
2025-03-27,-0.2,NVDA2517D118
2025-03-28,-0.48,NVDA2517D118
2025-03-31,0.3,NVDA2517D118
2025-04-01,-0.36,NVDA2517D118
2025-04-02,0.46,NVDA2517D118
2025-04-03,-0.31,NVDA2517D118
2025-04-04,-0.1,NVDA2517D118
2025-04-07,0.15,NVDA2517D118
2025-04-08,-0.46,NVDA2517D118
2025-04-09,1.89,NVDA2517D118
2025-04-10,-0.45,NVDA2517D118
2025-04-11,-0.14,NVDA2517D118
2025-04-14,-1.0,NVDA2517D118
2025-04-15,0.24,NVDA2517D118
2025-04-16,-0.06,NVDA2517D118
2025-04-17,-0.02,NVDA2517D118
2025-03-24,0.65,NVDA2517D119
2025-03-25,-0.1,NVDA2517D119
2025-03-26,-2.62,NVDA2517D119
2025-03-27,-0.19,NVDA2517D119
2025-03-28,-0.48,NVDA2517D119
2025-03-31,0.23,NVDA2517D119
2025-04-01,-0.54,NVDA2517D119
2025-04-02,0.39,NVDA2517D119
2025-04-03,-0.25,NVDA2517D119
2025-04-04,-0.08,NVDA2517D119
2025-04-07,0.31,NVDA2517D119
2025-04-08,-0.35,NVDA2517D119
2025-04-09,2.2,NVDA2517D119
2025-04-10,-0.37,NVDA2517D119
2025-04-11,0.78,NVDA2517D119
2025-04-14,-0.81,NVDA2517D119
2025-04-15,-0.19,NVDA2517D119
2025-04-16,-0.05,NVDA2517D119
2025-04-17,-0.02,NVDA2517D119
2025-03-18,-0.61,NVDA2517D120
2025-03-19,5.2,NVDA2517D120
2025-03-20,0.45,NVDA2517D120
2025-03-21,-1.25,NVDA2517D120
2025-03-24,5.85,NVDA2517D120
2025-03-25,-0.21,NVDA2517D120
2025-03-26,-2.05,NVDA2517D120
2025-03-27,-0.18,NVDA2517D120
2025-03-28,-0.46,NVDA2517D120
2025-03-31,0.18,NVDA2517D120
2025-04-01,-0.04,NVDA2517D120
2025-04-02,0.35,NVDA2517D120
2025-04-03,-0.3,NVDA2517D120
2025-04-04,-0.09,NVDA2517D120
2025-04-07,0.08,NVDA2517D120
2025-04-08,-0.3,NVDA2517D120
2025-04-09,1.57,NVDA2517D120
2025-04-10,-0.38,NVDA2517D120
2025-04-11,-0.15,NVDA2517D120
2025-04-14,-0.59,NVDA2517D120
2025-04-15,-0.17,NVDA2517D120
2025-04-16,-0.04,NVDA2517D120
2025-04-17,0.0,NVDA2517D120
2025-03-24,0.39,NVDA2517D121
2025-03-25,-0.11,NVDA2517D121
2025-03-26,-1.77,NVDA2517D121
2025-03-27,-0.17,NVDA2517D121
2025-03-28,-0.41,NVDA2517D121
2025-03-31,0.24,NVDA2517D121
2025-04-01,0.01,NVDA2517D121
2025-04-02,0.28,NVDA2517D121
2025-04-03,-0.19,NVDA2517D121
2025-04-04,-0.1,NVDA2517D121
2025-04-07,0.06,NVDA2517D121
2025-04-08,-0.2,NVDA2517D121
2025-04-09,1.34,NVDA2517D121
2025-04-10,-0.97,NVDA2517D121
2025-04-11,-0.12,NVDA2517D121
2025-04-14,-0.49,NVDA2517D121
2025-04-15,-0.13,NVDA2517D121
2025-04-16,-0.02,NVDA2517D121
2025-04-17,0.0,NVDA2517D121
2025-03-24,0.25,NVDA2517D122
2025-03-25,-0.16,NVDA2517D122
2025-03-26,1.9,NVDA2517D122
2025-03-27,-0.11,NVDA2517D122
2025-03-28,-0.38,NVDA2517D122
2025-03-31,0.16,NVDA2517D122
2025-04-01,-0.05,NVDA2517D122
2025-04-02,0.21,NVDA2517D122
2025-04-03,-0.23,NVDA2517D122
2025-04-04,-0.05,NVDA2517D122
2025-04-07,0.06,NVDA2517D122
2025-04-08,-0.17,NVDA2517D122
2025-04-09,1.12,NVDA2517D122
2025-04-10,-0.94,NVDA2517D122
2025-04-11,-0.13,NVDA2517D122
2025-04-14,-0.39,NVDA2517D122
2025-04-15,0.06,NVDA2517D122
2025-04-16,-0.05,NVDA2517D122
2025-04-17,-0.01,NVDA2517D122
2025-03-24,0.19,NVDA2517D123
2025-03-25,-0.11,NVDA2517D123
2025-03-26,-1.41,NVDA2517D123
2025-03-27,-0.13,NVDA2517D123
2025-03-28,-0.31,NVDA2517D123
2025-03-31,0.16,NVDA2517D123
2025-04-01,-0.05,NVDA2517D123
2025-04-02,0.2,NVDA2517D123
2025-04-03,-0.11,NVDA2517D123
2025-04-04,-0.06,NVDA2517D123
2025-04-07,0.03,NVDA2517D123
2025-04-08,-0.16,NVDA2517D123
2025-04-09,1.08,NVDA2517D123
2025-04-10,-0.59,NVDA2517D123
2025-04-11,-0.12,NVDA2517D123
2025-04-14,-0.3,NVDA2517D123
2025-04-15,0.05,NVDA2517D123
2025-04-16,-0.04,NVDA2517D123
2025-04-17,-0.01,NVDA2517D123
2025-03-24,0.19,NVDA2517D124
2025-03-25,-0.15,NVDA2517D124
2025-03-26,-1.75,NVDA2517D124
2025-03-27,-0.09,NVDA2517D124
2025-03-28,-0.26,NVDA2517D124
2025-03-31,0.08,NVDA2517D124
2025-04-01,-0.07,NVDA2517D124
2025-04-02,0.16,NVDA2517D124
2025-04-03,-0.1,NVDA2517D124
2025-04-04,-0.06,NVDA2517D124
2025-04-07,-0.02,NVDA2517D124
2025-04-08,-0.13,NVDA2517D124
2025-04-09,0.8,NVDA2517D124
2025-04-10,-0.61,NVDA2517D124
2025-04-11,-0.1,NVDA2517D124
2025-04-14,-0.24,NVDA2517D124
2025-04-15,0.04,NVDA2517D124
2025-04-16,-0.04,NVDA2517D124
2025-04-17,0.0,NVDA2517D124
2024-11-08,-1.0,NVDA2517D125
2024-11-11,-3.5,NVDA2517D125
2024-11-12,-0.11,NVDA2517D125
2024-11-13,-1.61,NVDA2517D125
2024-11-14,-0.36,NVDA2517D125
2024-11-15,-1.2,NVDA2517D125
2024-11-18,0.19,NVDA2517D125
2024-11-19,3.64,NVDA2517D125
2024-11-20,-0.81,NVDA2517D125
2024-11-21,-3.7,NVDA2517D125
2024-11-22,-4.46,NVDA2517D125
2024-11-25,-3.5,NVDA2517D125
2024-11-26,-1.16,NVDA2517D125
2024-11-27,-0.05,NVDA2517D125
2024-11-29,0.79,NVDA2517D125
2024-12-02,-1.36,NVDA2517D125
2024-12-03,1.09,NVDA2517D125
2024-12-04,2.15,NVDA2517D125
2024-12-05,-2.06,NVDA2517D125
2024-12-06,-2.6,NVDA2517D125
2024-12-09,0.25,NVDA2517D125
2024-12-10,-4.86,NVDA2517D125
2024-12-11,1.35,NVDA2517D125
2024-12-12,0.25,NVDA2517D125
2024-12-13,-2.56,NVDA2517D125
2024-12-16,-1.21,NVDA2517D125
2024-12-17,-0.75,NVDA2517D125
2024-12-18,-4.71,NVDA2517D125
2024-12-19,-2.35,NVDA2517D125
2024-12-20,1.64,NVDA2517D125
2024-12-23,1.64,NVDA2517D125
2024-12-24,-1.36,NVDA2517D125
2024-12-26,0.0,NVDA2517D125
2024-12-27,-1.61,NVDA2517D125
2024-12-30,2.5,NVDA2517D125
2024-12-31,-1.81,NVDA2517D125
2025-01-02,1.89,NVDA2517D125
2025-01-03,3.0,NVDA2517D125
2025-01-06,-0.15,NVDA2517D125
2025-01-07,-9.0,NVDA2517D125
2025-01-08,-1.86,NVDA2517D125
2025-01-10,-3.15,NVDA2517D125
2025-01-13,0.05,NVDA2517D125
2025-01-14,-5.25,NVDA2517D125
2025-01-15,1.3,NVDA2517D125
2025-01-16,-5.75,NVDA2517D125
2025-01-17,0.79,NVDA2517D125
2025-01-21,-0.46,NVDA2517D125
2025-01-22,1.8,NVDA2517D125
2025-01-23,2.19,NVDA2517D125
2025-01-24,-5.06,NVDA2517D125
2025-01-27,-3.16,NVDA2517D125
